1 	2342
2 	2022
3 	1560
4 	1322
5 	1055
6 	842
7 	746
8 	564
9 	478
10 	419
11 	292
12 	288
13 	241
14 	213
15 	175
16 	153
17 	156
18 	119
19 	114
20 	100
21 	81
22 	69
23 	63
24 	42
25 	52
26 	43
27 	56
28 	32
29 	40
30 	23
31 	37
32 	22
33 	25
34 	19
35 	19
36 	18
37 	13
38 	17
39 	20
40 	19
41 	11
42 	13
43 	8
44 	8
45 	10
46 	5
47 	6
48 	6
49 	10
50 	7
51 	3
52 	3
53 	5
54 	2
55 	6
56 	8
57 	2
58 	2
59 	4
60 	4
61 	4
62 	3
63 	6
64 	1
65 	2
66 	3
67 	3
68 	4
69 	1
70 	2
73 	3
74 	1
75 	1
76 	3
77 	1
78 	3
79 	2
80 	1
81 	2
82 	2
83 	2
84 	1
86 	1
88 	1
90 	2
92 	1
97 	1
98 	2
99 	1
102 	1
103 	1
109 	2
110 	1
112 	1
129 	2
144 	1
145 	1
147 	1
160 	1
171 	1
179 	1
185 	1
194 	1
198 	1
212 	1
215 	1
